C1	C2	Kezdõ oldal	Típus	Évszám	Kibocsátó	Szám	Közlöny	Közlöny sorszám	Közlönybeli sorszám	Évfolyam	Kihirdetés	Hatályba	Hat.kiv.dat.	Jelzõ	Oszlop	Filenév	Azonnali közzététel	Felsõoktatás	Köznevelés	Kultúra	Felnõttképzés	Szociális	
																							
2018. évi LXXXIV. törvény 	a Magyarország 2017. évi központi költségvetésérõl szóló 2016. évi XC. törvény végrehajtásáról	4	00	2018	00	84	53	1	1	2019	2019.01.11							·	·	·		·	
2018. évi LXXXIX. törvény 	az oktatási nyilvántartásról	102	00	2018	00	89	53	1	2	2019	2019.01.11							·	·				
2018. évi XC. törvény 	a felsõoktatás szabályozására vonatkozó és egyes kapcsolódó törvények módosításáról	122	00	2018	00	90	53	1	3	2019	2019.01.11							·					
34/2018. (XII. 3.) AM rendelet 	az élelmiszer-vállalkozás mûködéséhez szükséges szakképesítésekrõl	130	20	2018	7R	34	53	1	4	2019	2019.01.11								·				
226/2018. (XII. 4.) Korm. rendelet 	egyes kormányrendeleteknek a gyermekek esélynövelõ szolgáltatásaival összefüggõ módosításáról	138	20	2018	22	226	53	1	5	2019	2019.01.11											·	
40/2018. (XII. 4.) EMMI rendelet 	a gyermekek esélynövelõ szolgáltatásainak szakmai feladatairól és mûködésük feltételeirõl	145	20	2018	5H	40	53	1	6	2019	2019.01.11											·	
227/2018. (XII. 5.) Korm. rendelet 	az üldözött keresztények megsegítésével kapcsolatos szakhatósági feladatok ellátása érdekében szükséges és az Ösztöndíjprogram Keresztény Fiataloknak elnevezésû ösztöndíjprogram megvalósításával kapcsolatos egyes kormányrendeletek módosításáról	153	20	2018	22	227	53	1	7	2019	2019.01.11							·					
229/2018. (XII. 5.) Korm. rendelet 	a Közép-Európai Sajtó és Média Alapítvány által az ECHO HUNGÁRIA TV Televíziózási, Kommunikációs és Szolgáltató zártkörû Részvénytársaság, a Magyar Idõk Kiadó Korlátolt Felelõsségû Társaság, a New Wave Media Group Kommunikációs és Szolgáltató Korlátolt Felelõsségû Társaság, valamint az OPUS PRESS Zártkörûen Mûködõ Részvénytársaság megszerzésének nemzetstratégiai jelentõségûvé minõsítésérõl	155	20	2018	22	229	53	1	8	2019	2019.01.11									·			
232/2018. (XII. 6.) Korm. rendelet 	a Nemzetközi Mezõgazdasági Kutatóközpontok Konzorciumának nemzetközi szervezetként történõ létrehozásáról szóló, 2011. szeptember 13-án Montpellier-ben aláírt Megállapodás és módosítása kihirdetésérõl	156	20	2018	22	232	53	1	9	2019	2019.01.11							·					
234/2018. (XII. 6.) Korm. rendelet 	a közigazgatási ösztöndíjjal kapcsolatos egyes kormányrendeletek módosításáról	166	20	2018	22	234	53	1	10	2019	2019.01.11							·					
235/2018. (XII. 6.) Korm. rendelet 	az „ELI” Science Park Szeged projekt megvalósításával összefüggõ közigazgatási hatósági ügyek nemzetgazdasági szempontból kiemelt jelentõségû üggyé nyilvánításáról	171	20	2018	22	235	53	1	11	2019	2019.01.11							·					
